name,url
Bochum,bochum.de
Bonn,bonn.de
Bottrop,bottrop.de
Dortmund,dortmund.de
Duisburg,duisburg.de
Düsseldorf,duesseldorf.de
Essen,essen.de
Gelsenkirchen,gelsenkirchen.de
Hagen,hagen.de
Hamm,hamm.de
Herne,herne.de
Köln,koeln.de
Krefeld,krefeld.de
Leverkusen,leverkusen.de
Mönchengladbach,moenchengladbach.de
Mülheim an der Ruhr,muelheim-ruhr.de 
Oberhausen,oberhausen.de
Remscheid,remscheid.de
Solingen,solingen.de
Wuppertal,wuppertal.de
